,cleaned_title,date,source,source_type,language,sentiment,emotions,emotion_scores
0,Google is negotiating to invest in the startup Character.AI: Reuters,2023-11-12,La Verdad Noticias,Other,es,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.364382803440094, 0.29118281602859497, 0.2465258240699768, 0.09790857136249542]"
1,Read Full SAG-AFTRA Deal Summary Released Ahead Of Ratification Vote; Analysis Of AI & Streaming Fund,2023-11-12,Deadline,Other,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.42470020055770874, 0.28667765855789185, 0.14875715970993042, 0.139864981174469]"
2,These 5 Stocks Are Leading the Artificial Intelligence (AI) Revolution ...,2023-11-12,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.4519104063510895, 0.28161782026290894, 0.20631037652492523, 0.06016141176223755]"
3,These 5 Stocks Are Leading the Artificial Intelligence (AI) Revolution ...,2023-11-12,The Globe and Mail,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.4519104063510895, 0.28161782026290894, 0.20631037652492523, 0.06016141176223755]"
4,Google in talks to invest ‘hundreds of millions’ into AI startup ...,2023-11-12,CTech,Blog,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']","[0.36449605226516724, 0.25730961561203003, 0.21430189907550812, 0.16389241814613342]"
5,Google in talks to invest in AI startup Character.AI,2023-11-12,The Indian Express,Press Release Service,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.3561941385269165, 0.3021076023578644, 0.25251564383506775, 0.08918259292840958]"
6,Generative AI Companies Love This Stock. Could It Be a Winner For ...,2023-11-12,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.6459820866584778, 0.19459982216358185, 0.12285257875919342, 0.036565493792295456]"
7,Intel's AI semiconductors are obvious when you look at them; the reason why Samsung Electronics joined hands with a startup,2023-11-12,조선일보,Other,ko,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.4842292070388794, 0.23304139077663422, 0.17340342700481415, 0.10932601988315582]"
8,"Investing In Artificial Intelligence (AI) Stocks Can Be Risky, But ...",2023-11-12,The Motley Fool,Blog,en,neutral,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.6990556120872498, 0.18859107792377472, 0.06527499854564667, 0.047078315168619156]"
9,China’s AI unicorn “Zero Yiwu” invested 75% of its funds in Huida GPU,2023-11-12,自由時報,Other,zh_Hant,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3608059287071228, 0.29847419261932373, 0.2521095871925354, 0.08861028403043747]"
10,Ethical AI: A Key Consideration for ML-Centric Startups,2023-11-12,Analytics Insight,Blog,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.9078519344329834, 0.037870440632104874, 0.03075101412832737, 0.02352658472955227]"
11,SoundHound: Early Stage AI Player Ready To Break Out (NASDAQ ...,2023-11-12,Seeking Alpha,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.5943062901496887, 0.2344096451997757, 0.1045900210738182, 0.066693976521492]"
12,AI-powered ventures: 5 business ideas for success,2023-11-11,YourStory,Press Release Service,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.3416774272918701, 0.276500940322876, 0.20219287276268005, 0.17962871491909027]"
13,Chamath Palihapitiya says there’s a ‘reasonable case to make’ that the job of VC ‘doesn’t exist’ in a world of AI-powered two-person startups,2023-11-11,Fortune,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.39180177450180054, 0.3136063814163208, 0.18127186596393585, 0.11331991106271744]"
14,PYPL Outlook: Can Paypal Become an AI Stock?,2023-11-11,InvestorPlace,Other,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']","[0.4174189269542694, 0.33540770411491394, 0.14167951047420502, 0.10549380630254745]"
15,SAG-AFTRA deal includes a $40 million streaming bonus and AI protections,2023-11-11,Engadget,Other,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.3358938694000244, 0.24717110395431519, 0.22926923632621765, 0.1876656711101532]"
16,Google: In talks to invest in artificial intelligence startup Character.AI,2023-11-11,Insider,News Outlet,el,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.3790501654148102, 0.2791135907173157, 0.2690879702568054, 0.07274825870990753]"
17,Google Explores Investing Tens of Millions of Dollars in Startup Character.AI,2023-11-11,VOI.ID,Other,id,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']","[0.5737836956977844, 0.18359260261058807, 0.13600081205368042, 0.1066228374838829]"
18,Artificial Intelligence: Insider – Google wants to invest in AI startup Character.AI,2023-11-11,Handelsblatt,Other,de,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.4264681935310364, 0.2612456679344177, 0.2020518034696579, 0.1102343276143074]"
19,IBM earmarks $500 million to fund enterprise AI-focused startups,2023-11-11,CoinGeek,Other,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']","[0.2966475188732147, 0.2853687107563019, 0.2264942079782486, 0.19148950278759003]"
20,AI could steal more than 80 million jobs in the next...,2023-11-11,Economis,Other,es,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.688080370426178, 0.21083718538284302, 0.0529789961874485, 0.0481034480035305]"
21,"Startup Humane, originally from Apple, introduced AI Pin...",2023-11-11,VC.ru,Other,ru,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3035656213760376, 0.2931191623210907, 0.24687889218330383, 0.15643635392189026]"
22,The Generated Anchor: Startup Channel 1 To Premiere AI-Produced Newscast,2023-11-10,Deadline,Other,en,positive,"['Excitement', 'Skepticism', 'Concern', 'Optimism']","[0.32102450728416443, 0.27581894397735596, 0.2595858573913574, 0.14357075095176697]"
23,Osmo receives $8.5 million to advance AI-enabled insect control,2023-11-10,Verticalfarmdaily.com: global indoor farming news,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.35491499304771423, 0.3075244724750519, 0.2383202761411667, 0.09924033284187317]"
