cleaned_title,date,source,source_type,language
Google Shares How AI Will Disrupt & Enhance Healthcare By ...,2023-11-12,Trak.in,Other,en
AI being used to help veterans with mental health,2023-11-11,The Cairns Post,News Outlet,en
H|T: The Healthtech Times – Former unicorn Olive AI winds down ... - BetaKit,2023-11-10,BetaKit - Canadian Startup News,News Outlet,en
Survey: Generative AI Shaking Up Digital Health Investors’ Funding ...,2023-11-10,insideBIGDATA,Other,en
"Diversity of Data, Staff Critical to Prevent Bias in Healthcare AI",2023-11-10,MeriTalk,Other,en
"AI Order for Health Care May Bring Patients, Doctors Closer",2023-11-10,WebMD,Other,en
Unlocking the Potential of AI and ML in Healthcare Today,2023-11-10,Datanami,News Outlet,en
Senate subcommittee mulls guardrails for healthcare AI,2023-11-09,Healthcare Dive,Other,en
"Generative AI still mostly experimental, say executives",2023-11-09,Reuters,News Outlet,en
Doctor’s notes that write themselves? UNC Health tests AI so focus can be on patients,2023-11-09,Raleigh News & Observer,News Outlet,en
AI: Microsoft wants to create a chatbot therapist to help you feel better,2023-11-09,Phonandroid,Other,fr
Study identifies leaders in AI-driven healthcare research,2023-11-09,University World News,News Outlet,en
AI Alert: 3 Healthcare Stocks That Are Investing in Artificial Intelligence,2023-11-09,InvestorPlace,Other,en
"AI model can accurately diagnose and triage health conditions, without introducing racial and ethnic biases",2023-11-09,Medical Xpress,Press Release Service,en
What it Will Take To Trust Healthcare AI Models? - Digital Health,2023-11-09,HIT Consultant,Other,en
"MedCerts Combines Conversational AI, Generative AI, and Natural Language Processing For a Revolutionary New AI Addition To Online Healthcare Training",2023-11-09,Yahoo Finance,News Outlet,en
Emory University to launch Empathetic AI for Health Institute,2023-11-09,Healthcare IT News,News Outlet,en
Energy-efficient transistor enables AI analysis of health data within ...,2023-11-09,physicsworld.com,Other,en
UH to use AI to advance health equity with $500K grant | University ...,2023-11-09,University of Hawaii,Academic Journal,en
How to Test YouTube's Experimental AI Features Right Now - MUO,2023-11-09,MUO - MakeUseOf,Other,en
AI Therapy Documentation Startup Eleos Health Lands $40M Series B,2023-11-08,Behavioral Health Business,News Outlet,en
Shazam for food! HealthifyMe’s Snap AI tool makes tracking calories fun and easy,2023-11-08,Business Today,News Outlet,en
"Hyro Announces Conversational AI for Healthcare on Salesforce AppExchange, the World's Leading Enterprise Cloud Marketplace",2023-11-08,Yahoo Finance,News Outlet,en
Datadog integrates with Google Cloud's Vertex AI to monitor health ...,2023-11-08,SiliconANGLE News,News Outlet,en
Innovative AI model uses YouTube vlogs to identify depression ... - News,2023-11-08,News-Medical.Net,News Outlet,en
Health AI startup Cercle debuts with backing from Sheryl Sandberg,2023-11-08,CNBC,News Outlet,en
Senate holds hearing on policy considerations for AI in health care ...,2023-11-08,American Hospital Association,Other,en
Digital Health and Artificial Intelligence: New Developments From ...,2023-11-08,Sidley Austin LLP,Other,en
Enterprise Health Adds AI Capabilities to its Occupational Health ...,2023-11-08,PR Newswire,News Outlet,en
The uses and benefits of artificial intelligence in clinical trials,2023-11-08,Appinventiv,Other,en
