,cleaned_title,date,source,source_type,language,sentiment,emotion,emotions,emotion_scores
0,Google is negotiating to invest in the startup Character.AI: Reuters,2023-11-12,La Verdad Noticias,Other,es,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.364382803440094, 0.29118281602859497, 0.2465258240699768, 0.09790857136249542]"
1,"LLM: Artificial Intelligence Supports the Lawyer as a ""Co-Pilot""",2023-11-12,Kosmiczne informacje,Other,pl,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.43480008840560913, 0.2650618553161621, 0.19214273989200592, 0.10799530148506165]"
2,"Generative AI Can Be a Weapon to Maintain Cyber ​​Security, IBM Reveals Its Benefits",2023-11-12,Liputan6.com,Other,id,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.298448771238327, 0.28559643030166626, 0.21207384765148163, 0.2038808912038803]"
3,"Biden AI order sparks tug of war over regulations, oversight",2023-11-12,Journal Times,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6652849912643433, 0.22199584543704987, 0.07449376583099365, 0.03822541981935501]"
4,From AI to robotics COMING SOON: China announces mass construction of ROBOTS,2023-11-12,Debate,Other,es,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.4758319854736328, 0.28065919876098633, 0.21636360883712769, 0.02714528888463974]"
5,"How to stop AI taking your job and five careers that are doomed to ‘robot takeover,’ expert reveals...",2023-11-12,The Sun,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6857397556304932, 0.14636817574501038, 0.08641320466995239, 0.08147887885570526]"
6,France to host next AI safety summit as European nations jockey for tech leadership,2023-11-12,Fox News,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6734637022018433, 0.17670129239559174, 0.08645961433649063, 0.06337537616491318]"
7,Saudi Arabia unveils International Center for AI Research and Ethics,2023-11-12,Arab News,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.48888570070266724, 0.2374962568283081, 0.16598182916641235, 0.1076362282037735]"
8,The ups and downs of leveraging AI in real estate,2023-11-12,Pleasanton Weekly,Magazine,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7151990532875061, 0.1800021380186081, 0.07083723694086075, 0.03396163508296013]"
9,Penn PRECISE Center research shows how generative AI can be ...,2023-11-12,The Daily Pennsylvanian,News Outlet,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.4080124497413635, 0.2109336107969284, 0.19950361549854279, 0.1815503090620041]"
