emotion_label,,title,emotion_label
Concern,1440,"5 things about AI you may have missed today: AI negotiates contract with another AI, YouTube tests AI chatbot, more - HT Tech",Concern
Concern,3196,Engineers use novel design to make AI 100x energy efficient - Interesting Engineering,Concern
Concern,4758,Google packs more artificial intelligence into new Pixel phones ... - News 12 Hudson Valley,Concern
Concern,2215,OpenAI Is Facing Fierce Competition as the Dominant AI - TheWrap,Concern
Excitement,9388,AI Bots Are Coming to Finance - Bloomberg,Excitement
Excitement,3185,"Google searches for ""AI Girlfriend"" went up 2400% last month - iRadio",Excitement
Excitement,536,Goldman Sachs developing dozen generative AI projects -exec - Reuters,Excitement
Excitement,3349,HashiCorp tweaks Terraform with user interface changes and AI infused testing - The Register,Excitement
Optimism,7433,Salesforce Debuts 'Bring-Your-Own-Model' Generative AI Platform ... - Voicebot.ai,Optimism
Optimism,7272,Meta to introduce AI chatbots with different 'personas' to keep users ... - CoinGeek,Optimism
Optimism,4428,Lenders Adopting AI and Machine Learning to Improve Efficiency - The MReport,Optimism
Optimism,5388,EDGE keynote: Best way to apply AI to supply chain is in ... - CSCMP's Supply Chain Quarterly,Optimism
Skepticism,5475,AI Vincent Van Gogh says you're wrong about his ear - RFI English,Skepticism
Skepticism,6952,Artificial Intelligence and What You Don't Need to Know - Medium,Skepticism
Skepticism,7437,AI Won't Replace Humans — But Humans With AI Will Replace ... - HBR.org Daily,Skepticism
Skepticism,7995,AI robot gives 'sarcastic' response when asked if it would 'rebel ... - indy100,Skepticism
